filename,score,prediction,trigger,file_path
suno_cn_000001_0.mp3,0.974643886089325,AI,Calibrated_P(0.975>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000001_0.mp3
suno_cn_000001_1.mp3,0.981853187084198,AI,Calibrated_P(0.982>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000001_1.mp3
suno_cn_000002_0.mp3,0.9797497987747192,AI,Calibrated_P(0.980>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000002_0.mp3
suno_cn_000002_1.mp3,0.9818914532661438,AI,Calibrated_P(0.982>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000002_1.mp3
suno_cn_000003_0.mp3,0.9777382612228394,AI,Calibrated_P(0.978>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000003_0.mp3
suno_cn_000003_1.mp3,0.981387734413147,AI,Calibrated_P(0.981>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000003_1.mp3
suno_cn_000004_0.mp3,0.8753641247749329,AI,Calibrated_P(0.875>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000004_0.mp3
suno_cn_000004_1.mp3,0.9810708165168762,AI,Calibrated_P(0.981>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000004_1.mp3
suno_cn_000005_0.mp3,0.9834643602371216,AI,Calibrated_P(0.983>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000005_0.mp3
suno_cn_000005_1.mp3,0.9825301766395569,AI,Calibrated_P(0.983>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000005_1.mp3
suno_cn_000006_0.mp3,0.9805036783218384,AI,Calibrated_P(0.981>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000006_0.mp3
suno_cn_000006_1.mp3,0.983146607875824,AI,Calibrated_P(0.983>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000006_1.mp3
suno_cn_000007_0.mp3,0.9786103963851929,AI,Calibrated_P(0.979>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000007_0.mp3
suno_cn_000007_1.mp3,0.9830752611160278,AI,Calibrated_P(0.983>=0.18),D:\mirex\data\processed\eval_50k_fresh\streaming_scratch\unpacked_cn_part01_of_25\suno_cn_000007_1.mp3
